serial, 2, 4, 30.957873821258545, 7.739465415477753
mpi, 10, 10, 2, 3.821458101272583, 4.1434866189956665
mpi_jax, 10, 10, 2, 0.08693099021911621, 19.91891300678253
mpi_jax, 10, 10, 2, 39.9036078453064, 19.95173490047455
mpi_jax, 10, 10, 2, 39.94268321990967, 19.97127342224121
mpi, 10, 10, 2, 3.8358891010284424, 4.130499482154846
mpi, 10, 10, 2, 3.883315086364746, 4.222686529159546
